study_hours_wk,sleep_hours,lms_activity_rate,attendance_rate,assignments_on_time_rate,procrastination_index,self_efficacy,stress,internet_quality,part_time_job_hours,commute_min,social_support,screen_time_nonstudy_hr,extracurricular_hours,habit_consistency,cluster_label_true,major,primary_device,internet_type,cohort,age,credits_enrolled,year_of_study,lms_quiz_rate,lms_forum_rate,lms_resource_rate,lms_submission_rate,attendance_lecture,attendance_lab,student_id,grade_Matemáticas_prior_20,grade_Matemáticas_current_20,grade_Matemáticas_prior_pct,grade_Matemáticas_current_pct,grade_Programación_prior_20,grade_Programación_current_20,grade_Programación_prior_pct,grade_Programación_current_pct,grade_Comunicación_prior_20,grade_Comunicación_current_20,grade_Comunicación_prior_pct,grade_Comunicación_current_pct,grade_Estadística_prior_20,grade_Estadística_current_20,grade_Estadística_prior_pct,grade_Estadística_current_pct,grade_Ética_prior_20,grade_Ética_current_20,grade_Ética_prior_pct,grade_Ética_current_pct
3006982.4991377783,2991775.290871507,3010514.633190081,3000328.192853793,3004390.582913203,2994275.151937856,2989622.6922201575,2994856.193985091,3020180.3102682424,2992014.4938094504,3005490.2263453845,3001098.0053831437,3012274.4520911463,3008665.6678585443,2998485.1637280416,Struggling_SleepDeprived,Empresariales,Laptop,Fibra,2024-I,3009472.078938417,3009430.363392999,3001950.183324814,2981146.6121452623,2999854.414989294,2998166.49310171,3006889.891760493,3017227.5447449703,3020886.577535142,2987027.5037566745,3007589.13320012,3000644.7188630896,3024176.879027059,3028688.267244299,3001794.7370461873,3008892.9004841447,2996454.969129296,3013771.3864785675,3002032.524684711,2993246.2187358486,3015125.748149442,2998612.0035883593,3002911.4550138135,2986544.4854609193,3006471.4053805303,3011531.9244453064,2996350.799445688,3009656.4220945905,3005506.9643679275,2976030.7336939657
3997845.0179768014,3975921.316730731,4000577.740067061,3993741.638447663,4005012.534648603,3999069.434821683,4000478.3176436187,4007021.5603654264,4012306.1133424174,3987151.805819016,4014632.864308439,4006847.5267458586,4019249.5579510275,4007760.730817249,3993521.337607975,Struggling_SleepDeprived,Empresariales,Desktop,Fibra,2025-I,4002143.039399556,3993068.2180673685,4005237.596633886,3978941.401528664,4000070.9558235095,4000775.197587215,4002926.556001856,4010633.3611483756,3990439.4333185884,3996628.242649147,4003393.885423731,3992706.8294434655,4011015.618262398,3982897.9832526725,4024695.9916064204,4004867.4347952097,4009860.838873599,3983694.766808083,3997110.2223426346,4003843.162630373,3986947.727003586,4001620.2656634217,3994202.5282664606,4004269.9171041613,3993271.8341288203,4003868.962749717,3977328.9285437395,3992647.8892096346,4000177.8608458056,3999111.542606796
1988432.5032966395,1987432.3865510437,1995225.4247655289,1981088.7113811355,1995413.0786646304,2007481.4058027528,1995987.9907438967,1990048.1740158605,1998030.7477352081,1996665.2061213609,1991337.1379094569,2009979.359437029,1996847.284508591,2013944.156701255,1996972.2702953087,Working_Constraints,Empresariales,Tablet,Fibra,2024-II,2007422.9391894338,2015667.5561251077,1998160.6871092406,2022767.7283599905,2011099.1690508332,1998597.9770743798,2011162.9662867826,1992894.7793497036,2006404.9454926157,1995649.25124313,2018950.2360136716,1982530.6017708858,2004164.9976403718,2016631.5819509514,2010351.8615700852,1985566.525566739,1981145.3417059835,2006733.042528699,1988140.4634782327,1992239.9465006397,2001804.553546938,2024237.7786145075,1994572.1824367093,1999780.0115965165,2002078.8919064514,2012539.387699066,1995615.731545827,1998112.9401544442,1988574.702318559,1998582.2257915894
4008065.64176681,3992043.102370047,4001577.5487116026,4013911.539854218,3979042.46686904,4005796.9346403657,4022957.246011475,3985132.659655349,3991192.508721709,3995912.4417566117,4001936.8584673484,3995624.1380780465,3989603.612639243,4003690.9431344755,3983451.792957288,Struggling_SleepDeprived,Humanidades,Laptop,Fibra,2024-II,4021947.8785686637,4011047.35466055,3999391.9607441323,4005470.9664830174,4015666.0459094425,3989999.053144847,3995322.940966561,3998317.0080839754,4030166.0051975483,4018979.0990871666,4012895.323682488,4009505.7550419834,4013313.834167215,3997000.4613425205,4005005.8563953284,4015634.9669957,4003390.249141513,3997431.949443313,4010337.85492691,3995745.0140026566,3999719.6753406064,4000696.9942630613,3990460.785017012,3992504.1003232663,3994553.630171615,4022903.273526738,4005158.9476790144,4000008.1271338044,3993231.3650198863,4004406.7736244746
4002060.495178795,3998161.5311927814,4007886.7168426085,4006330.890073266,3997867.7588109276,4002852.596120089,4012851.1627423307,3993076.0526243784,3995971.9904675595,4002209.753682872,3989026.25418107,3997479.024566112,4022932.0576321403,3995794.4540404016,4001988.375150504,Passive_But_Steady,Salud,Laptop,Móvil,2024-II,4027177.9391564773,3982543.01287876,4009957.559755872,3984424.97206735,4007661.8905210732,4000318.061282992,4008520.53335701,4006842.362013061,4002287.206503594,3990329.748092867,3991851.1086192266,3994320.6899796417,4017346.846097678,4009931.2023260165,4008397.5731075415,4001940.1476467005,4008748.000247501,3982139.9499201053,3984560.719652278,4001935.6605574763,3989799.639278214,3999146.642851096,4019667.9514701283,4005164.2115894426,4001245.1798498514,4007330.093347859,4007663.291636998,3996104.165228697,3999096.579593499,3992901.6348616336
987227.7953407692,991530.8767168302,1010667.1883005432,1006395.0651261306,1007616.2159759876,1015105.9081725344,988550.7200229473,999923.3518694253,1000163.8691847963,1004297.1427891257,1014179.894827679,1001063.0716221333,993867.5552191067,1005135.6028811065,1013133.3088473682,High_Achievers,Ingeniería,Laptop,Fibra,2025-I,1003588.6621458078,1013347.2222040518,988272.7328639602,998703.0551509884,1011281.7612604557,1010576.6093450293,1003376.5408163039,979699.8364275334,991124.0956230344,998539.7662029951,998080.9228852189,1004359.683409201,1000799.1017803374,995150.0808463548,995603.4576351488,992091.0742113716,993669.5577574383,982721.8527348228,995200.1989918266,1016558.1807079372,1009961.5812138185,990973.7326546556,978285.4856471653,998554.6027713834,1013250.324529627,998574.1526005017,999380.8376289945,991666.7570909278,1009941.6255968977,990189.0290900397
1984621.5267407112,2005854.9074374961,1983640.1116456022,2001794.5598427719,2003944.8906191005,2002670.4447676833,1984654.207026192,2001317.1876888063,1991064.1382228783,2006624.9045874148,2013216.785342999,1993666.3060909344,1985531.6993223818,1998529.8494337662,2000113.3824853667,Struggling_SleepDeprived,Salud,Laptop,Móvil,2023-II,2003194.230755873,2017729.5223095098,2003422.809255918,1996907.1961073137,2001100.3835978415,2006420.8234354397,1986341.218433422,1995831.4485933431,2008116.1742202097,1980976.2630415473,2009399.408054072,2011314.8181314315,2002149.607608203,2008376.9870557166,2000351.6178824054,1982777.403411938,2018683.1825498668,1998477.9495108158,2004162.0724850763,2004462.478276423,1991358.7663480714,2007751.9444787176,1994267.7795191754,2023850.575607674,1997187.8704321715,2004059.697859185,1987949.958734381,1986395.874027392,2003617.3241014974,2009644.5572255491
1987796.8262278421,1985850.2412812395,2002234.236422468,1982896.7188976372,1985044.6374232061,1973912.3126555982,2005141.96485988,1998767.3410471298,1999033.9128539013,1987427.6569710362,1989968.0153509693,2001684.0091945836,1998878.9803725898,2011312.8596669307,2009283.1693721213,Struggling_SleepDeprived,Ingeniería,Laptop,Móvil,2024-I,2001158.4089105045,2003729.5267758938,2015520.145564993,2010318.1747317305,1993774.5860276814,1994398.0210813626,2000217.4951554206,1996578.6444691226,1992995.6371329606,1992007.575301767,1998888.4816963135,2001258.2964564534,2007617.539865607,1993766.1332833038,1997969.9987538767,1991235.8707068835,2008681.0559759378,1992026.2651433982,2004189.5710170718,2007620.0803516214,1990707.140041954,2008252.2410717406,1983436.8557383178,1986725.14196264,1989587.0893584022,2003278.055263034,1987060.1933789055,2004407.7042453461,1996908.4514227998,1995759.362370243
1992813.1807455672,42611735.06826256,1996298.858051061,1993430.4476307917,2011599.176518606,2002433.5081972121,1996727.776966049,2002610.4539424751,2004493.5549196135,2009145.7368334986,1996207.4684406926,1990484.8624813012,2026366.6211146927,2003842.807893282,2001754.6386401781,High_Achievers,Humanidades,Tablet,Cable,2024-I,2000920.9828814352,2002291.5398517072,2020884.9015494944,1986083.5961788914,2010382.1103024401,1978508.8804033853,2010081.4456938694,1991595.7538150796,2010688.172587353,2011091.5621213429,2007615.1047588096,2002007.941856361,1997193.5601300942,1994920.8007180546,1995920.4338010105,1995776.3235014463,2006410.3363701312,2009788.5753807605,2010903.228714448,1996444.168172828,1994719.2843577776,1998832.0433601078,1998626.236511925,1998373.6095947828,2022207.7835587214,2002433.1794947863,2009254.3648551775,1985785.3461768588,2008475.8485378185,2006832.9795568692
3998148.3477102513,3980372.9241999155,4013246.9870497305,3981423.793706597,3996817.1077865018,3993759.7964675664,3989647.718898046,3985757.693291137,3989267.433842827,4009695.568919344,4001645.908204591,3998311.9654436857,3994336.464853017,4012967.0174695435,3997213.5284671634,Working_Constraints,Educación,Laptop,Fibra,2024-II,3986647.33099849,4000206.590863574,3985098.4069132684,4006855.7693434325,3988414.1237451127,3983575.1405005506,4001300.7250606716,4001054.690616096,3988624.107979279,4010995.599735093,4007748.725987106,3990965.9899069658,4004741.2348735845,3998432.132278726,3995184.9977553496,4009085.3737557936,4023703.7391447225,4000320.9012575736,3991874.3571850373,4002813.5480541578,3977933.0374457045,4000638.885172769,4026637.2171802125,4000456.53563321,3995176.291199169,3993459.264147591,4006615.2706657997,4017892.3120517475,3992910.8566177245,4004869.1986270724
2990928.7365374477,3011877.191771664,2990956.9418650535,3007609.7677409183,2998836.390312374,3008427.321692109,3008983.311161788,2988287.6966302805,3000295.812226943,3017378.8751629065,3013619.0080064964,2999990.598188039,3008266.7660122025,2998305.540013785,3000979.6204968425,Passive_But_Steady,Ingeniería,Smartphone,Fibra,2024-I,3011958.2777158427,3002087.5911336727,2999754.098016847,3004105.497307388,2994704.6276323185,3002497.4050758462,3007934.836897144,3013175.0271184864,2999598.546224323,3017572.4336667815,3001239.1144015645,2998424.7994137597,3012309.6312954156,3002320.156418883,3000072.20684864,2993563.304203453,3004941.5820854874,3003097.936667254,3001872.35628789,2985100.0957490783,2990491.8270803364,3007665.020445358,2997009.3955883374,3004416.213983926,3009081.4521731953,2994578.5181646133,3006945.811274871,2991531.650548787,2984498.2135780947,2998545.390163491
2013100.7309443785,2008510.6921402062,1994430.7119231503,1992782.7322190332,1997697.4997512565,2003978.8592894592,2003341.0239772424,1997729.2006188377,2014042.1956815089,1995349.668978456,1983685.0304415287,2007474.2632006404,1989707.49296877,1990872.1292700805,1995082.660431853,Passive_But_Steady,Educación,Laptop,Fibra,2024-I,2001138.9183219702,1990394.1476768516,2016863.098915358,2009408.2986252047,1987260.2969914784,2009061.686299026,2008733.0770021472,2001188.5345587144,2004511.9012735123,2003715.4062774384,1999322.204019068,2004020.9452814371,1993892.3885559808,2003257.6847779755,1992909.74081537,2008904.120673654,1976183.2135534517,2005632.7159816017,2003634.4452999395,2000891.6387395319,1977809.6326832408,1990485.0750747346,1980171.4187949218,2000420.49519618,1994660.9197033243,2006791.4796013471,2014800.709350962,1989206.8336955989,1994336.8544110726,2009732.2610772972
5002263.009348218,4990716.283301778,4993852.785427348,5003402.573238242,5004630.99137924,4993640.400793,4991749.580411099,4999942.193825311,4988099.34555016,4998483.486493203,5005774.1609158665,5010441.917524373,4994612.267361842,4989504.179017676,4998505.115979858,Passive_But_Steady,Salud,Smartphone,Móvil,2023-II,5002649.495939093,5009356.412912655,5010215.427085567,5008321.495427107,5012329.800613607,5003244.152662872,5002903.495328121,4984572.211888093,4987518.68121013,5019244.538675013,4994437.422172758,4986212.370475258,5011177.014509335,4995632.371186553,4997181.821958556,4993039.9508236805,4993029.95393418,4996059.339464629,4993313.938370181,5005708.879968838,5012319.875423059,5010502.588165625,5024222.207262823,4988182.030314342,4994446.569008294,5006234.171480369,4996155.935921716,5007891.857852329,4997286.841799374,5001491.305455233
3984071.972006475,3996053.731878016,3998443.9207168706,3994846.4580347165,3988967.4243193837,4008445.2560631456,4009019.76107358,3997889.4296479896,4002874.585614568,4003636.0466549154,3995550.8098638,4032672.201762518,4012119.0077385525,4001309.018828182,4011392.7444608947,Passive_But_Steady,Salud,Smartphone,Móvil,2024-I,4006726.955070001,3994266.0013442785,4000748.542264579,3994423.1433096444,4004225.56628013,3994779.3757922575,3994571.2274848013,4005394.2696213564,4008808.8845369555,4005987.707079946,3981107.5533603854,3998027.148447858,3996081.6516200877,3997960.6008214154,4010703.3094778256,3993287.3453560183,3981378.903292592,3987634.1021736288,3982839.426216801,3997686.2211806746,4021189.0884615425,4008092.6696157553,4011925.2542008194,3994345.654386271,3994132.741326567,4002052.021829653,3990839.701252452,4002493.4806264327,3989901.8232194157,3993782.246997312
