study_hours_wk,sleep_hours,lms_activity_rate,attendance_rate,assignments_on_time_rate,procrastination_index,self_efficacy,stress,internet_quality,part_time_job_hours,commute_min,social_support,screen_time_nonstudy_hr,extracurricular_hours,habit_consistency,cluster_label_true,major,primary_device,internet_type,cohort,age,credits_enrolled,year_of_study,lms_quiz_rate,lms_forum_rate,lms_resource_rate,lms_submission_rate,attendance_lecture,attendance_lab,student_id,grade_Matemáticas_prior_20,grade_Matemáticas_current_20,grade_Matemáticas_prior_pct,grade_Matemáticas_current_pct,grade_Programación_prior_20,grade_Programación_current_20,grade_Programación_prior_pct,grade_Programación_current_pct,grade_Comunicación_prior_20,grade_Comunicación_current_20,grade_Comunicación_prior_pct,grade_Comunicación_current_pct,grade_Estadística_prior_20,grade_Estadística_current_20,grade_Estadística_prior_pct,grade_Estadística_current_pct,grade_Ética_prior_20,grade_Ética_current_20,grade_Ética_prior_pct,grade_Ética_current_pct
2022908.8392407876,2017320.4929136808,1992491.005290389,1992771.1479892384,1991764.7738314301,1996685.9889630373,2002444.4795849745,1997677.645386765,1986607.328780119,2017053.290328976,1999542.400308381,1998968.8318734479,2006408.2668409497,2010508.3854543671,1997019.395392858,Struggling_SleepDeprived,Empresariales,Laptop,Fibra,2024-I,2004000.6868134025,1992896.8925187371,1988109.9131976534,2008566.0084652866,2005610.6137547563,2015560.2743699416,1995709.9645204195,2002036.457469924,1995975.1476514093,1995483.0733967647,2002302.7717780774,2009279.1372632089,2013436.1670350719,1990845.4675900075,2014276.3511142216,2008748.391991679,1997879.6396323114,1988475.4232521504,1998155.5653846005,2003379.9585690668,2001070.457116951,2008107.8912336812,2011910.2668383499,2003578.4959703693,1997198.2835107283,2009533.9479758714,2009136.057092635,2008361.8748355932,2006680.4631785862,2009666.9215234003
-13193.478891374056,-2517.306819925051,-8047.245724183811,21144.14834308793,-9517.4447329172,10270.458521777606,183664.2153774624,7897.710286367064,2430.466296536492,-11218.488443481372,13760.064863638541,-8612.728703928975,716.0766226722236,-2998.78327616624,-4458.793362268278,Struggling_SleepDeprived,Empresariales,Desktop,Fibra,2025-I,-3803.79305056798,-6585.42848933108,-10006.866577687862,-8371.525461252328,-11696.714751660198,6716.374463310052,18302.551889382325,-11984.424659478409,24120.526278837708,-6871.8755021329525,-13229.762501826992,2247.1874455592188,-1697.72707504985,10999.599218967865,6876.068801557436,2818.27617866231,-3621.0958306159014,12384.714183393877,2268.9643845185533,-13182.628792862848,10799.942782172118,-10604.689813406538,-10312.767233285731,16571.501918023736,-6017.1745223869075,12584.266083163775,8373.625632320262,-201.80667877129258,6085.248908095588,121.81852831793236
2001070.423820787,2007028.8179859512,1979560.6330534741,1996507.0453179479,1999636.233763405,2004483.9701652962,1999026.1899408654,1995492.2762670664,2008282.66356789,2008449.059226217,2010445.8560454147,2005365.9943342735,1998918.9865793646,1997208.6056188769,1999455.5590905198,Working_Constraints,Empresariales,Tablet,Fibra,2024-II,1997536.8192039672,1995800.8567768475,1988948.4876736396,1991399.1944638654,1999736.1602862114,1998952.4736931068,1993814.8396156505,2004624.8194827463,2004630.5673242284,1990171.9806071904,2016810.6404697127,1999890.3796279004,2001472.723516206,1996008.509267242,2013397.1530909669,1996433.891858816,2018075.456352859,2027572.0557503032,2009514.0981998756,2002985.5709094433,2002434.4931172682,2015374.5136555303,1993712.781005466,2003616.4311462417,2008022.4466214937,1997557.5358388037,1995765.5418559469,1992379.8354735654,1999121.8273583974,2005785.006991959
1998944.699479977,2010357.2464258303,77533266.41717574,1991294.4564435384,1980905.2898209875,1988956.416209604,2006851.2433841531,2011783.9480157678,1993619.2696473321,2008792.9652567944,1986057.002269983,2001764.766424795,2022867.9762249384,1996674.208931144,2004792.4161985458,Struggling_SleepDeprived,Humanidades,Laptop,Fibra,2024-II,1999583.5758179883,1997227.1241524634,2004560.7769747213,1980542.9168568982,2015492.1992691015,2014770.153314058,2006415.0523168752,1997843.3664954149,2018384.7594012858,1991301.1882864675,2012284.0507760544,1996448.8817620215,1997675.92845263,2012067.4135244328,2007878.1410788624,1999239.9183537879,2005791.3600864185,1986666.1233939703,1988184.7041800895,2006352.856963989,1985591.8484175724,2000418.0513569757,1997343.8531144073,2007805.5135474293,2009254.9247611961,1995654.0207219364,2004680.3717923015,2008948.0100449536,2018051.3924104464,1988476.7153299022
-2262.452190086761,11336.234718590493,850.7903197998995,3751.6901405846893,18114.96881871767,-6308.209939074417,2091.6981068875166,493.9734691538389,1635.8911436627577,6969.9710292314885,-10023.521099305026,-17481.87847240662,-19553.201958289916,-10388.026463178594,-3679.3812694029925,Passive_But_Steady,Salud,Laptop,Móvil,2024-II,7138.35393059119,7906.148775092637,558.6313489352405,-7421.897810239647,2996.0109354672245,15802.955080685877,-17593.949485770176,10651.945149104205,1330.171952499895,9579.651838940279,8861.745128713494,1840.4657871869993,8142.187133011088,-330.0780331046229,11650.653642997666,7017.321481330671,24634.958629544515,3997.648905175969,16577.247210480742,-4801.042742499893,13860.458182259259,-3425.57193277963,3279.986686164762,-8820.926835400793,-4697.048017743197,1954.6606955403497,8785.193323727692,6531.769549909733,6938.542480948034,9394.070453702318
10645.686780266999,-10622.97155166374,-2029.1746301044489,181693.01677397502,7186.526282557465,-15204.625824708864,-4457.517579301611,-6900.392859926178,-7004.041846681614,4337.934050190092,21156.13183331255,11692.196043476297,24583.866628276657,17891.3739676118,2024.6281841925354,High_Achievers,Ingeniería,Laptop,Fibra,2025-I,-8966.626478031198,10472.143802120225,3011.486340469518,-7557.682024868332,-11847.978531112538,-9516.726199894621,19506.062771860114,-11410.913602004743,-12891.90187424534,-2258.3120433351028,3159.186002178483,-75.8324622227836,-9692.218799391856,11880.009956142605,-17376.808461967245,-1966.9337046396504,923.3371703212509,-2350.3767692050674,-27955.47182137488,-6822.345417665,1932.3611863746,-19013.752246733333,13558.364404705568,4889.949424580181,8304.102458357936,4492.953821688684,3902.0866422495105,-24101.756833412517,-16823.28931171798,-4508.944788073232
1998156.433492829,2008197.28331691,2003765.1013817063,1993201.7229003878,2006883.869307128,1999302.5273261927,2008841.243210314,2000681.3255569935,2006949.9966888777,2004645.5690148715,1988753.6556037238,2013077.2270697618,2000125.889332452,2011780.6824028126,1985515.538176786,Struggling_SleepDeprived,Salud,Laptop,Móvil,2023-II,2015860.4485678938,2001050.0721489214,2003991.186820647,1996400.2907591525,2015343.7044481565,1991453.8578938001,1990743.8100664993,2005048.237424354,1987427.6723741905,1973907.3329910873,1979263.011978107,1997462.1925275614,1991234.7469998908,2000323.6865090288,1996520.9461186987,2003175.419764876,1982841.3043395863,2001223.174058993,2007197.4720091894,2004935.2338480698,2011575.2668156875,1989864.789376433,1989921.4713154293,1998109.8660363774,1984460.6809015921,2007403.04951254,1995324.101598762,1995161.5086920972,1999169.8473026361,1993384.2282678154
995614.127937427,1012238.5319857373,1015329.3337053555,999951.9481367271,10322863.215180226,992847.3748068482,998447.3069589623,1010956.3933808241,1004157.2550997979,983483.1651150901,1005338.200702519,1003820.5067755333,1001948.3095711623,1005435.1854936403,1001110.8641769695,Struggling_SleepDeprived,Ingeniería,Laptop,Móvil,2024-I,1007397.5818397744,984170.652887941,996831.4358685793,1007847.5633162188,1008318.4717462139,990822.9566181086,989536.2294072404,998329.7360739402,1013787.154528661,997051.1600184534,1001419.7699760464,1012263.3536516317,1004838.9655374684,1000761.9245552064,992125.358277857,1002920.2491405418,990537.06666517,994347.3996690237,1002113.275821528,1004791.6487460588,983569.1888244373,986787.0549645276,1015033.2392079246,1003328.5059811355,999713.8563075025,1010354.8067571773,1015823.1841847433,992017.404925235,994798.2190021009,1004051.5633376029
1995604.1128896822,1999998.808514409,1991395.1592661717,2008809.1516903325,2001937.6457864481,1988164.5862918908,1996420.331112466,2008660.2106498461,2004441.164261684,2007250.997286994,2003255.7953087476,1993187.5605150587,1990450.4668918499,1995400.0924790837,2003686.4314044975,High_Achievers,Humanidades,Tablet,Cable,2024-I,2000515.7459095267,1999558.8399232822,1997312.4362596173,1988629.1704967911,2008909.4730669342,1990876.440780051,2005698.0176038425,2004741.2041313527,2005253.3451865762,2007061.190190589,1995771.8499244368,1988286.5314315825,2002073.8304477578,1993636.2734609358,2000042.927826482,2008149.265451248,2002087.8207129568,2029976.9659503174,2004946.0468857181,1996955.1936174168,1995545.6805480132,2003396.3648967913,1997348.1840652286,2010798.089551241,1992270.8167613621,1984398.77121988,2001601.557379891,2014328.6691908827,1998238.6960967437,1995834.4482234046
1977922.4908361742,54591906.018890224,1991890.2436607429,1999036.533685057,1998084.4284153176,1996153.7582393582,2003489.338273511,2014746.3112751513,1994635.4588497707,2003037.5794910092,1983012.3069354168,2000179.9546185485,2003227.0166731298,1990550.713026872,1993085.5862460854,Working_Constraints,Educación,Laptop,Fibra,2024-II,2005134.3241149932,1988715.5474409512,1997808.9751580395,1982715.1279483824,1987231.4761856257,1997724.3736218365,2008272.5543347884,2012148.341721979,2012141.053309791,1997626.1197615378,1984812.6516360983,1995592.4538161303,1997788.3929267598,1997192.9756187855,2014237.0476272355,2020287.790405805,1994487.2310554958,2008823.7792906212,2015195.2503272118,1980596.685707043,1988290.9972276601,1989315.1866241107,2008267.1697656305,1999050.1147916743,2002102.5193421314,2026249.030164489,2005177.435156333,1977539.4743784084,1997497.7576839041,1998594.0589295041
