study_hours_wk,sleep_hours,lms_activity_rate,attendance_rate,assignments_on_time_rate,procrastination_index,self_efficacy,stress,internet_quality,part_time_job_hours,commute_min,social_support,screen_time_nonstudy_hr,extracurricular_hours,habit_consistency,cluster_label_true,major,primary_device,internet_type,cohort,age,credits_enrolled,year_of_study,lms_quiz_rate,lms_forum_rate,lms_resource_rate,lms_submission_rate,attendance_lecture,attendance_lab,student_id,grade_Matemáticas_prior_20,grade_Matemáticas_current_20,grade_Matemáticas_prior_pct,grade_Matemáticas_current_pct,grade_Programación_prior_20,grade_Programación_current_20,grade_Programación_prior_pct,grade_Programación_current_pct,grade_Comunicación_prior_20,grade_Comunicación_current_20,grade_Comunicación_prior_pct,grade_Comunicación_current_pct,grade_Estadística_prior_20,grade_Estadística_current_20,grade_Estadística_prior_pct,grade_Estadística_current_pct,grade_Ética_prior_20,grade_Ética_current_20,grade_Ética_prior_pct,grade_Ética_current_pct
469932.4553135066,266009.6002167412,13991.822922373469,35995.20455489878,12311.978236343926,42972.5269229257,224459.12119925904,227681.66368297554,131395.2064112343,720587.7647236268,3936301.7932695504,276181.1350421807,110671.91345936018,88832.18518202721,22574.813199123357,Struggling_SleepDeprived,Empresariales,Laptop,Fibra,2024-I,1354972.184816058,857821.8852253371,302055.6338045665,6473.635656087617,-204.0081598381078,4785.3082032042885,8146.9671559891785,24052.10694307296,8234.960152522835,13806326.288362935,699338.1249174131,351524.6933144175,2398310.2490413175,1341190.1561710937,469270.5773227876,559067.7791583625,3660373.1326275333,3600503.1326915477,751126.5648432423,766851.6802459031,1696254.9045438766,2485182.893898181,401737.7264879095,516447.7248057506,3612172.9597560572,2392266.126326548,530711.976674493,427048.12836456514,1925695.8134606676,1932272.8073456401
405143.35458734445,265404.6183616277,11964.278249792449,36177.50706600746,12536.031265038193,39242.55054524872,129985.08091886001,214882.88316799485,106566.421946399,1012131.1759695832,3034611.663376708,176169.70318293464,234051.1045133078,90858.12524672122,14048.037101371885,Struggling_SleepDeprived,Empresariales,Desktop,Fibra,2025-I,1277049.0918347486,672888.3783464301,241927.55619266228,6992.760413072364,849.510703313308,6380.023747320034,1733.5512188801542,27379.695973857415,5414.006005594352,11179173.12800483,685917.4002882409,337119.8115055043,2362106.7622307176,1249472.4675268917,423939.62586024625,463179.42873554234,3386847.3896590564,3017937.9468251537,608202.9569651597,525036.0599026365,1324854.685072641,1672058.3697773183,373437.3259086719,426206.1645239272,3266805.0845097476,1925913.983517428,462197.5833621064,480256.31878801767,1683515.546100067,2183103.937496978
859896.6550759854,255138.3873744815,19117.20040238962,31307.128423603364,12384.75758030787,29746.065933426944,171768.95725416843,288352.49764747074,142578.80505273488,1764195.667828881,2511682.467503269,200233.23170492137,99578.99000158165,20626.569381506033,28059.60673843172,Working_Constraints,Empresariales,Tablet,Fibra,2024-II,1348681.1601854635,951392.447580316,242262.5526674927,9635.257259399872,3396.241709806429,4739.759547090197,8217.207094810401,20205.915089111353,8412.635955540736,27278909.34818204,862514.4171306106,453205.3452558339,2938421.3508832594,1676713.0671781572,454444.1641357309,486153.61681962333,3618466.170275874,3158577.7429649173,771445.187745522,864546.1560135259,1751297.3522294532,2813940.7589793867,476570.0130548056,495792.11362094566,4124007.454772134,2220676.90854754,628515.0807312852,512380.9076113076,2276207.8846786986,2313158.713144388
762134.8591951636,247934.94707734865,20163.283629912385,33300.326404943815,12558.59935470123,41479.094170941076,116595.69782435561,300205.71558356815,104868.22392979787,1010459.7382353677,2140044.628905248,198049.3053857418,233532.14307193572,20930.265391850247,24781.06536439888,Struggling_SleepDeprived,Humanidades,Laptop,Fibra,2024-II,1487383.9199848527,773931.9686785007,177810.75841884094,10906.763814618605,6713.205867525637,1137.3145005022056,5009.325637793244,20812.089282313325,7857.790011413085,14893067.202265175,862401.2149371468,385640.629429972,2923989.109160755,1493331.8330403436,408722.7630306162,547916.8421508167,3244552.1953013726,3528666.6633522976,669846.2061270135,595282.0509715776,1475634.9692297347,1934686.6494760988,458810.6054533658,632299.611235149,4078317.0734154596,2864998.067120902,563210.7030494863,585046.0098075689,2002191.1131761225,2653685.5090956613
1075971.1992029564,301688.1994594485,21296.763066076415,37489.44449732941,17135.526221427976,24871.01225587039,164464.2304398957,172788.91233302536,109055.67015002164,389834.27700815955,2212526.9037373834,218658.92190422927,176665.8156640394,246834.3510109436,31757.245192663173,Passive_But_Steady,Salud,Laptop,Móvil,2024-II,1355834.9794215949,771885.0762901835,240103.59929692815,9900.758686735791,2211.1132023217424,1905.3195230242277,16988.518488869195,27535.57487256621,7930.698362373982,22072537.697980657,971331.7887186679,543494.654680324,3275066.019960808,2005502.041615634,514921.97989180655,604781.4195337743,4110730.6352216857,3925167.154976667,801374.0486626717,725448.7205075084,1797703.8146243468,2338095.0185953076,574907.6398453751,752582.6319509752,5090389.639397182,3420359.5183684584,741964.2639668788,761014.6266645706,2703474.2424524017,3451597.734458557
1374622.36838275,330460.47272518865,30414.52675150996,40841.79374829202,12969.739231849147,22683.48344157612,242186.50909898605,244046.0037172296,157836.63833221584,240052.52851616402,1269923.9160018773,336901.65714399796,44893.56649749051,130711.42568896491,32134.980775790842,High_Achievers,Ingeniería,Laptop,Fibra,2025-I,1483874.8950859616,820335.0229756711,118684.70479986745,9966.64475789619,1458.7256713961951,20389.814190146048,10368.308311687479,28400.90967899659,8376.944511767411,7501352.946548261,1202707.8132822632,703004.3630052261,4032765.843093252,2604852.17945189,521747.9087043919,579929.0289803672,4128535.625657835,3812448.596269643,1001998.0369048441,965647.8751955539,2211999.984559961,3162680.316118411,635294.5616841711,722698.5162970026,5556609.6562336935,3298528.267701054,771507.0520416665,742014.3354832566,2772737.0393709275,3398065.525948494
378672.78718789597,197996.31995542438,12246.42510358758,36993.95199663861,12253.833441561766,29998.6509809511,138032.05905761427,254354.72424706447,118111.31023817703,421094.5314565404,3791729.0280642402,270291.4730485122,154756.26913661466,93690.14163001314,21160.33098582412,Struggling_SleepDeprived,Salud,Laptop,Móvil,2023-II,1621403.8804579978,951667.1080445722,240109.83218214865,6657.011354919667,1962.1793396539767,1895.3240986198484,8482.364972461388,24906.956418320467,7753.823361578224,14758332.62979124,846381.6709178613,409972.14399828535,2860274.5741130556,1481943.7893543541,378321.2223822826,434049.2856801797,2989645.2623461746,2792747.048698583,650525.1828055398,614220.3587601869,1465872.072956657,2012592.7227360005,423899.8683062337,607576.6149869914,3679053.1622412563,2815898.4102148693,529464.3393245151,521039.4643247654,1953162.6701312067,2319653.194748986
487759.05363139877,238833.56873592225,14557.504750420567,31159.314625159703,13344.914653418276,56987.31842845785,114408.93763169927,248759.6401579503,70627.62137714846,811786.3360264101,3127912.342598046,216334.4008881598,202135.86317929503,42434.602711311585,26030.255768404513,Struggling_SleepDeprived,Ingeniería,Laptop,Móvil,2024-I,1558791.065710791,859634.9378732396,182680.90200261536,12938.601887115014,781.2300249184686,2234.838914614268,4463.95122613622,24304.18958500525,6019.655945663683,12588600.155510062,704412.0677648216,327747.185189126,2378274.8918708353,1235278.11928952,396182.01195127994,404637.976877739,3103727.5305233425,2661176.2207730627,725656.3150458528,574831.8100272665,1598343.9162566075,1863456.7980404235,381477.3189681616,437039.1484560961,3378545.704058075,1994002.7027939537,549070.5327095145,525917.1015087224,1965582.4803078577,2383507.045030638
1133840.772228356,336763.113271918,27166.22330076552,45354.47311380876,12178.615807813505,10216.048481309188,264442.83752495743,184186.18684427682,149296.34688196692,331551.26289232477,16906.008202200857,264613.7887542538,66766.75267587932,268765.38010158937,41435.54871765166,High_Achievers,Humanidades,Tablet,Cable,2024-I,1688906.983497047,939236.672417344,121904.69330830303,19711.83703946935,2294.7026986545816,5603.95666232615,8960.812690550603,30772.52035572304,10805.05372281134,6375142.165984694,1282029.1775490218,669019.0848075422,4337461.1656042,2441691.745828728,633472.8149141554,717875.8740185016,5124351.341560877,4524474.870516082,1134996.744992318,995093.2775787268,2544304.9442044664,3264246.9603623752,664593.282729724,795081.640884083,5834175.138159793,3624296.493129784,870841.0648402061,892248.2469977911,3141940.681597471,4013036.8270603144
773702.3020579815,278343.0520913438,16978.187876323176,33809.22360202652,12055.763364541619,39568.303063396605,152376.1863442818,318862.24379009975,127078.49197420939,1790146.4255610069,5572644.537001962,157091.6300840241,103975.55233297295,-3069.078266845973,24427.712407639927,Working_Constraints,Educación,Laptop,Fibra,2024-II,1548680.299886509,1129172.706662599,243337.00935109743,3839.114331058905,8045.273504812545,3648.0180864047593,3559.964757385188,21962.21053103476,8312.437811558044,29620036.235556975,741826.7952274736,376778.5761676671,2497061.452169661,1358966.1387017532,461068.7974577397,568164.2590820565,3724521.460934502,3659844.8842335762,737275.4562949252,654117.7843372999,1675075.0067211748,2080482.9981760636,432444.83778639644,573225.8005872625,3778577.660486087,2601323.0639984077,584114.0409828619,586739.4662561141,2126637.976010446,2723296.5314434785
1079025.9082721542,324168.3487212981,23725.08636155873,40350.89180395382,13661.188876483742,29392.54534327164,180502.11744221303,244213.79172856096,127925.98671635393,506382.1216005374,2826198.253218749,310216.8630371333,120910.49346764557,174186.24898748813,30742.94983337545,Passive_But_Steady,Ingeniería,Smartphone,Fibra,2024-I,1414967.5932289949,807805.0923243166,242359.44665960176,9950.480149222676,6307.825692099562,1186.0178149147428,14538.214879747451,26233.71973072313,9573.202809105504,16218781.586218664,972843.8449074442,543283.4051209971,3287418.928531299,2024277.773472159,525322.6276623055,605439.2646441087,4136696.2862378717,3907616.49576688,900480.5715649122,722343.3797714639,2015801.3189287924,2402540.7559134793,595317.3966793033,704984.460641036,5254640.71376404,3211333.580107136,751224.5836249025,689424.4799570377,2723361.183932382,3111487.6186119625
