study_hours_wk,sleep_hours,lms_activity_rate,attendance_rate,assignments_on_time_rate,procrastination_index,self_efficacy,stress,internet_quality,part_time_job_hours,commute_min,social_support,screen_time_nonstudy_hr,extracurricular_hours,habit_consistency,cluster_label_true,major,primary_device,internet_type,cohort,age,credits_enrolled,year_of_study,lms_quiz_rate,lms_forum_rate,lms_resource_rate,lms_submission_rate,attendance_lecture,attendance_lab,student_id,grade_Matemáticas_prior_20,grade_Matemáticas_current_20,grade_Matemáticas_prior_pct,grade_Matemáticas_current_pct,grade_Programación_prior_20,grade_Programación_current_20,grade_Programación_prior_pct,grade_Programación_current_pct,grade_Comunicación_prior_20,grade_Comunicación_current_20,grade_Comunicación_prior_pct,grade_Comunicación_current_pct,grade_Estadística_prior_20,grade_Estadística_current_20,grade_Estadística_prior_pct,grade_Estadística_current_pct,grade_Ética_prior_20,grade_Ética_current_20,grade_Ética_prior_pct,grade_Ética_current_pct
9403.463725621163,5318.186968840367,276.06385271535663,713.7932494633776,249.6017165143111,864.9464312482572,4476.914842833516,4549.820550538833,2615.4754023179717,14415.253389674419,78724.17607290715,5534.129791549104,2207.0066637544433,1769.1390780211564,451.5174137334677,Struggling_SleepDeprived,Empresariales,Laptop,Fibra,2024-I,27102.431729901375,17160.968564273426,6055.495157731402,148.0626973872312,-4.983527091456451,99.05870602626436,165.46437733679076,471.37346102567074,168.06866684371525,276124.18605564255,13990.284704934606,7033.652452791401,47981.26214830688,26821.81499764873,9403.159295431846,11188.598612558746,73219.0733989678,72005.05994792377,15034.08696719379,15323.1538668025,33918.0900330455,49696.71703299032,8041.107410757232,10336.854385733406,72247.07690237701,47845.377818533365,10616.576594741831,8545.747989889069,38500.176508296536,38647.63031157991
8087.031549825932,5308.730025976966,247.2155216598217,719.6104085213589,248.64375361977233,782.8360278596369,2617.51226458486,4282.9734148775315,2133.6586330994796,20248.348042450078,60701.092609521664,3529.8398842505985,4673.324172569659,1837.5748839269065,288.3868991084761,Struggling_SleepDeprived,Empresariales,Desktop,Fibra,2025-I,25540.115905737875,13451.27144758863,4824.079688314424,143.15428673269847,17.415374503034723,120.65586214732431,53.429316938169514,542.2170742865333,123.36863205495646,223588.84798589037,13716.02184922784,6741.941316869149,47247.778987716614,24975.522971933064,8485.236103269446,9284.304550437128,67736.45126238285,60372.09061132949,12163.62492412523,10513.577388845575,26496.163111292615,33429.261518881634,7463.143178099048,8506.959953904778,65329.62573904821,38520.56298942355,9259.833366822228,9592.135947443345,33668.36773795879,43674.13334814322
17191.495143017743,5112.790627177097,378.27491586750045,629.3520815325157,245.59370946353684,593.4372146268196,3437.4806762027597,5773.540135375361,2853.5593122244395,35302.45721277275,50240.928400036464,4000.734297145573,1991.5762161604657,401.7470825981556,564.5981456184848,Working_Constraints,Empresariales,Tablet,Fibra,2024-II,26980.931047758448,19015.938108737653,4853.718090678877,195.97647804070002,67.04469874799014,101.73401826445813,157.64433967836283,404.70299685632176,149.755528959921,545588.8800379742,17256.34138840415,9063.00031173556,58768.17253021095,33548.421888832665,9096.321365392789,9728.189450199938,72354.00228602134,63154.23671355427,15428.858103643066,17292.845604164515,35025.70187700852,56290.27315328126,9525.221770531449,9907.849020709382,82478.20104704406,44414.023446343876,12567.803149437017,10250.118317931116,45531.53304948314,46252.15753359967
15256.205106143856,4961.314501493282,404.83466072523856,671.2530543983609,248.37157791332717,821.6635197704414,2340.589917774553,6018.619159718833,2109.3373123233364,20201.71222689964,42795.381247481906,3963.9895352589756,4665.881398192035,406.19298695588117,486.7654120466201,Struggling_SleepDeprived,Humanidades,Laptop,Fibra,2024-II,29758.279258613606,15475.758803577453,3556.2807246641523,225.89804806789184,119.96627869543339,31.180551232160447,100.62389997055436,421.3139667583815,171.60275559960826,297861.584076647,17240.146733187146,7728.698882835917,58480.77460063177,29865.81722559017,8181.808825260281,10963.34558147031,64895.36782470663,70569.66415169742,13389.546788731423,11897.610847635788,29508.861098362668,38697.7326952967,9195.527789790589,12660.056288937592,81566.92331211538,57295.137706113135,11247.646083360247,11715.374256230583,40035.45544506769,53088.01092802796
21517.994335529707,6024.563607287154,429.10997920836616,768.7959100573422,343.20785994698423,513.6884463799538,3298.8544594809423,3460.5976904761783,2182.7827580075527,7804.649338735428,44259.28587863747,4378.267839970275,3546.5264461769884,4936.451355797561,635.2397748732856,Passive_But_Steady,Salud,Laptop,Móvil,2024-II,27114.004018912616,15441.353465878583,4800.503653607277,187.32206496431746,45.07120477965236,41.14488480439045,353.1852214983274,538.5075296739136,160.97361600988603,441466.05853728164,19422.431096055716,10866.910864139909,65497.03041171348,40112.483940693004,10304.998678852484,12110.790422788281,82205.02465135072,78489.86651491659,16004.777185249231,14510.083818062658,35952.82833943463,46769.72875292987,11510.251504370137,15043.492237192804,101815.77624583853,68389.75757294988,14824.644744057132,15220.19024834544,54070.49716156641,69037.79441620508
27477.941893406154,6618.762978026274,587.1984095730863,816.6501135729379,247.4832318865777,456.1992020141551,4828.019687083033,4902.610096130728,3169.0224253220235,4773.239312464017,25401.26434959583,6726.139348703528,891.0966604890064,2610.7959034740916,627.1504745495746,High_Achievers,Ingeniería,Laptop,Fibra,2025-I,29675.883707189892,16397.793965134475,2373.5343486251772,195.9550048804388,22.281171963742494,407.50753636917983,194.8598807503974,570.3999788415314,188.00328423704056,150019.0311367296,24050.365812775573,14069.51010401723,80653.08140063974,52115.25375372593,10435.064705212393,11600.945145617296,82573.82938412199,76253.96287441185,20041.081723053478,19290.384550418654,44222.89111143654,63246.3592581179,12704.931912990705,14458.3028429235,111119.69374086523,65972.59779499247,15423.123155716059,14833.746167922725,55453.38506232524,67954.47002431715
7580.790625471866,3951.2588105739032,247.4200710688204,741.5968045640349,249.09355276475222,617.7429976675263,2751.24618613241,5076.745864037785,2369.604977273437,8415.620163274232,75825.68777935243,5400.3182927212565,3095.122135121573,1880.8618744213259,430.70309525618774,Struggling_SleepDeprived,Salud,Laptop,Móvil,2023-II,32414.42851811052,19022.50217800584,4791.085192614759,135.30489500638643,27.814231509978516,31.095515587458316,159.55978438670073,497.9645584542126,175.4300425556443,295164.9658345997,16935.58676275106,8200.262410836434,57199.725090688305,29641.399705661857,7556.245297863759,8684.244230107402,59797.14595570206,55862.870633576335,13006.692335784357,12280.61960139125,29320.712221591697,40279.58157327919,8476.021256423068,12147.25347455845,73573.74165082854,56322.7066751559,10593.475756999427,10424.611271375641,39056.68675273073,46392.1606275804
9743.304780251785,4788.107588568212,292.7951455020511,624.1921295818644,248.3060080416508,1135.7475743790515,2275.7265491982553,4995.5004453542215,1419.422199536188,16235.297481616917,62556.63316656581,4323.885804005362,4027.107274205518,852.3860573316899,533.8050096288637,Struggling_SleepDeprived,Ingeniería,Laptop,Móvil,2024-I,31190.99533041145,17176.274975372835,3647.5597860978014,260.04319731257954,23.80452762173217,38.274381916222914,88.95922273709016,490.978461390678,124.32222014471941,251767.2039832991,14089.498796443966,6559.923507541279,47571.64951689813,24693.431814700565,7927.91428118658,8095.687206662322,62085.979772964136,53222.53553851834,14524.612841621578,11489.691451096784,31985.96619775659,37272.15188130685,7634.813130032914,8751.740280851462,67569.42679660885,39881.14290666988,10987.053313790842,10510.037950312526,39309.78799629161,47667.59723624169
22664.99435129515,6737.456304295711,540.3925183637392,893.8784501346754,247.53345123514185,195.33699015588434,5278.631751991815,3676.087302216168,2985.525670968243,6624.75296444547,339.3047892949121,5271.694311682804,1354.1476503453891,5388.357071341072,817.1497345028687,High_Achievers,Humanidades,Tablet,Cable,2024-I,33772.72882012548,18769.45182212912,2445.291256633231,393.2609557208377,57.142591078172295,110.39939410795192,171.7959603874405,607.8246939190495,209.35906645422236,127513.3169373868,25622.583335364106,13388.42569722908,86750.81852921264,48820.61177815623,12669.14908076412,14338.841750869264,102471.47982003591,90492.34852137158,22692.864506895137,19907.142275137354,50873.779481035905,65277.67968662764,13270.828650124486,15921.226914483008,116679.93729147324,72463.61409603473,17410.9978112106,17835.1491397229,62836.77326197934,80256.43912652245
15458.459312672883,5559.6317319465825,352.618542234843,679.5551686711822,248.51047189213799,793.8048011892397,3044.8097694242842,6375.050131905199,2533.2271023898343,35813.69769021376,111465.67200379427,3136.0011085356264,2082.071101537837,-67.06433713095228,486.15047398933984,Working_Constraints,Educación,Laptop,Fibra,2024-II,30969.26631064651,22587.70870419947,4868.371212818129,72.89206557393733,163.83212989519126,70.97001122235814,56.14701776344731,425.939717816013,176.89770409116042,592403.468430743,14816.365560453774,7530.396713466293,49938.28539448648,27186.36325716511,9234.883777174273,11376.983270246345,74486.74960368949,73201.8630351079,14767.264375113715,13087.38241045851,33509.39308434819,41593.98367838897,8632.723777847477,11464.924536361643,75577.86352105172,52027.46376151408,11678.03724082443,11733.939257131695,42549.58696525835,54463.94680723981
