Vehicle type,Fuel type,Vehicle age,State
INDEPENDENT,BI-GNV,1,APPROVED
INDEPENDENT,BI-GNV,1,APPROVED
STATION,BI-GNV,5,DISAPPROVED
PRIVATE,BI-GNV,0,DISAPPROVED
INDEPENDENT,BI-GNV,1,APPROVED
STATION,BI-GNV,1,APPROVED
STATION,BI-GNV,1,DISAPPROVED
STATION,BI-GNV,3,APPROVED
INDEPENDENT,BI-GNV,13,DISAPPROVED
INDEPENDENT,BI-GNV,8,DISAPPROVED
INDEPENDENT,BI-GNV,5,APPROVED
INDEPENDENT,BI-GNV,5,APPROVED
INDEPENDENT,BI-GNV,7,DISAPPROVED
STATION,BI-GNV,4,APPROVED
STATION,BI-GNV,13,DISAPPROVED
INDEPENDENT,BI-GNV,20,DISAPPROVED
INDEPENDENT,BI-GNV,4,APPROVED
INDEPENDENT,BI-GNV,24,DISAPPROVED
STATION,BI-GNV,8,APPROVED
INDEPENDENT,BI-GNV,3,APPROVED
INDEPENDENT,BI-GNV,5,DISAPPROVED
STATION,BI-GNV,6,APPROVED
INDEPENDENT,BI-GNV,7,APPROVED
STATION,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,3,APPROVED
INDEPENDENT,BI-GNV,3,DISAPPROVED
INDEPENDENT,BI-GNV,6,APPROVED
INDEPENDENT,BI-GNV,4,APPROVED
STATION,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,23,APPROVED
STATION,BI-GNV,1,APPROVED
INDEPENDENT,BI-GNV,9,DISAPPROVED
INDEPENDENT,GNV,17,DISAPPROVED
STATION,BI-GNV,6,DISAPPROVED
STATION,BI-GNV,3,DISAPPROVED
STATION,BI-GNV,5,APPROVED
STATION,BI-GNV,5,APPROVED
STATION,BI-GNV,8,DISAPPROVED
STATION,BI-GNV,3,APPROVED
INDEPENDENT,BI-GNV,4,DISAPPROVED
INDEPENDENT,BI-GNV,3,APPROVED
STATION,BI-GNV,1,APPROVED
